company,sector,year,role,language,wordcount,group,count_raw,count_norm
FreseniusMedicalCare,Medizintechnik,2022,ar,de,4644,Daten/Data,0,0.0
FreseniusMedicalCare,Medizintechnik,2023,ceo,de,2055,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2023,ceo,de,2055,Daten/Data,1,0.4866
FreseniusMedicalCare,Medizintechnik,2023,ar,de,4524,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2023,ar,de,4524,Daten/Data,0,0.0
FreseniusMedicalCare,Medizintechnik,2024,ceo,de,2616,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2024,ceo,de,2616,Daten/Data,0,0.0
FreseniusMedicalCare,Medizintechnik,2024,ar,de,6724,KI/AI,1,0.1487
FreseniusMedicalCare,Medizintechnik,2024,ar,de,6724,Daten/Data,0,0.0
FreseniusMedicalCare,Medizintechnik,2025,ceo,de,2438,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2025,ceo,de,2438,Daten/Data,1,0.4102
FreseniusMedicalCare,Medizintechnik,2025,ar,de,4658,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2025,ar,de,4658,Daten/Data,1,0.2147
GEA,Maschinenbau,2022,ceo,de,4333,KI/AI,0,0.0
GEA,Maschinenbau,2022,ceo,de,4333,Daten/Data,2,0.4616
GEA,Maschinenbau,2022,ar,de,1437,KI/AI,0,0.0
GEA,Maschinenbau,2022,ar,de,1437,Daten/Data,0,0.0
GEA,Maschinenbau,2023,ceo,de,3870,KI/AI,0,0.0
GEA,Maschinenbau,2023,ceo,de,3870,Daten/Data,0,0.0
GEA,Maschinenbau,2023,ar,de,1098,KI/AI,0,0.0
GEA,Maschinenbau,2023,ar,de,1098,Daten/Data,0,0.0
GEA,Maschinenbau,2024,ceo,de,3421,KI/AI,1,0.2923
GEA,Maschinenbau,2024,ceo,de,3421,Daten/Data,0,0.0
GEA,Maschinenbau,2024,ar,de,1474,KI/AI,0,0.0
GEA,Maschinenbau,2024,ar,de,1474,Daten/Data,0,0.0
GEA,Maschinenbau,2025,ceo,de,3587,KI/AI,2,0.5576
GEA,Maschinenbau,2025,ceo,de,3587,Daten/Data,2,0.5576
GEA,Maschinenbau,2025,ar,de,2522,KI/AI,0,0.0
GEA,Maschinenbau,2025,ar,de,2522,Daten/Data,0,0.0
HannoverRe,Versicherungen,2022,ceo,de,3139,KI/AI,0,0.0
HannoverRe,Versicherungen,2022,ceo,de,3139,Daten/Data,1,0.3186
HannoverRe,Versicherungen,2023,ceo,de,2902,KI/AI,0,0.0
HannoverRe,Versicherungen,2023,ceo,de,2902,Daten/Data,0,0.0
HannoverRe,Versicherungen,2024,ceo,de,2525,KI/AI,1,0.396
HannoverRe,Versicherungen,2024,ceo,de,2525,Daten/Data,3,1.1881
HannoverRe,Versicherungen,2025,ceo,de,1904,KI/AI,0,0.0
HannoverRe,Versicherungen,2025,ceo,de,1904,Daten/Data,0,0.0
HeidelbergMaterials,Baustoffe,2022,ceo,de,453,KI/AI,0,0.0
HeidelbergMaterials,Baustoffe,2022,ceo,de,453,Daten/Data,0,0.0
