company,sector,year,group,count_raw,count_norm,wordcount
SAP,Software,2023,KI/AI,3,0.43165,5194
SAP,Software,2024,Daten/Data,3,0.4797,4532
SAP,Software,2024,KI/AI,35,6.5763,4532
SAP,Software,2025,Daten/Data,14,3.4852999999999996,3716
SAP,Software,2025,KI/AI,25,5.27395,3716
Siemens,Elektrotechnik,2022,Daten/Data,1,0.1076,6572
Siemens,Elektrotechnik,2022,KI/AI,0,0.0,6572
Siemens,Elektrotechnik,2023,Daten/Data,5,0.52465,6906
Siemens,Elektrotechnik,2023,KI/AI,7,0.7345,6906
Siemens,Elektrotechnik,2024,Daten/Data,4,0.44615,6628
Siemens,Elektrotechnik,2024,KI/AI,38,4.48135,6628
Siemens,Elektrotechnik,2025,Daten/Data,9,1.21195,5852
Siemens,Elektrotechnik,2025,KI/AI,26,3.89755,5852
SiemensEnergy,Energietechnik,2022,Daten/Data,0,0.0,6750
SiemensEnergy,Energietechnik,2022,KI/AI,0,0.0,6750
SiemensEnergy,Energietechnik,2023,Daten/Data,0,0.0,7036
SiemensEnergy,Energietechnik,2023,KI/AI,0,0.0,7036
SiemensEnergy,Energietechnik,2024,Daten/Data,0,0.0,7059
SiemensEnergy,Energietechnik,2024,KI/AI,2,0.2767,7059
SiemensEnergy,Energietechnik,2025,Daten/Data,3,0.3865,6466
SiemensEnergy,Energietechnik,2025,KI/AI,10,1.61125,6466
SiemensHealthineers,Medizintechnik,2022,Daten/Data,4,0.62815,3742
SiemensHealthineers,Medizintechnik,2022,KI/AI,4,0.62815,3742
SiemensHealthineers,Medizintechnik,2023,Daten/Data,1,0.14415,4784
SiemensHealthineers,Medizintechnik,2023,KI/AI,3,0.4324,4784
SiemensHealthineers,Medizintechnik,2024,Daten/Data,1,0.14705,5579
SiemensHealthineers,Medizintechnik,2024,KI/AI,1,0.14705,5579
SiemensHealthineers,Medizintechnik,2025,Daten/Data,0,0.0,4945
SiemensHealthineers,Medizintechnik,2025,KI/AI,7,1.00575,4945
Symrise,Chemie & Konsumgüter,2022,Daten/Data,1,0.8795,1137
Symrise,Chemie & Konsumgüter,2022,KI/AI,0,0.0,1137
Symrise,Chemie & Konsumgüter,2023,Daten/Data,0,0.0,2150
Symrise,Chemie & Konsumgüter,2023,KI/AI,0,0.0,2150
Telekom,Telekommunikation,2022,Daten/Data,1,0.1772,4299
Telekom,Telekommunikation,2022,KI/AI,1,0.1772,4299
Telekom,Telekommunikation,2023,Daten/Data,2,0.3298,4509
Telekom,Telekommunikation,2023,KI/AI,2,0.3298,4509
Telekom,Telekommunikation,2024,Daten/Data,4,0.8312,4503
Telekom,Telekommunikation,2024,KI/AI,10,1.8268,4503
Telekom,Telekommunikation,2025,Daten/Data,3,0.66195,6728
Telekom,Telekommunikation,2025,KI/AI,7,1.54455,6728
VolkswagenGroup,Automobil,2022,Daten/Data,0,0.0,4719
VolkswagenGroup,Automobil,2022,KI/AI,1,0.1756,4719
VolkswagenGroup,Automobil,2023,Daten/Data,0,0.0,5526
VolkswagenGroup,Automobil,2023,KI/AI,0,0.0,5526
VolkswagenGroup,Automobil,2024,Daten/Data,0,0.0,5718
VolkswagenGroup,Automobil,2024,KI/AI,0,0.0,5718
VolkswagenGroup,Automobil,2025,Daten/Data,0,0.0,4256
VolkswagenGroup,Automobil,2025,KI/AI,0,0.0,4256
Vonovia,Immobilien,2022,Daten/Data,0,0.0,4123
Vonovia,Immobilien,2022,KI/AI,0,0.0,4123
Vonovia,Immobilien,2023,Daten/Data,0,0.0,3250
Vonovia,Immobilien,2023,KI/AI,0,0.0,3250
Vonovia,Immobilien,2024,Daten/Data,0,0.0,3221
Vonovia,Immobilien,2024,KI/AI,1,0.1863,3221
Vonovia,Immobilien,2025,Daten/Data,0,0.0,3335
Vonovia,Immobilien,2025,KI/AI,0,0.0,3335
Zalando,Versandhandel,2022,Daten/Data,0,0.0,0
Zalando,Versandhandel,2022,KI/AI,0,0.0,0
Zalando,Versandhandel,2023,Daten/Data,0,0.0,2995
Zalando,Versandhandel,2023,KI/AI,0,0.0,2995
Zalando,Versandhandel,2024,Daten/Data,0,0.0,3357
Zalando,Versandhandel,2024,KI/AI,0,0.0,3357
Zalando,Versandhandel,2025,Daten/Data,0,0.0,3757
Zalando,Versandhandel,2025,KI/AI,1,0.2662,3757
