company,sector,year,role,speaker,language,confidence,wordcount,filename
RWE,Energie,2022,ar,Werner Brandt,de,high,1258,RWE/2022/hv-2022-rede-des-ar-vorsitzenden.pdf
RWE,Energie,2023,ceo,Markus Krebber,de,high,3239,RWE/2023/RWE-hv-2023-rede-des-vorstandsvorsitzenden-markus-krebber.pdf
RWE,Energie,2024,ceo,Markus Krebber,de,high,2179,RWE/2024/rwe-hv-2024-rede-des-vorstandsvorsitzenden-markus-krebber.pdf
RWE,Energie,2024,ar,Werner Brandt,de,high,708,RWE/2024/rwe-hv-2024-bericht-des-aufsichtsrats-redemanuskript.pdf
RWE,Energie,2025,ceo,Markus Krebber,de,high,2735,RWE/2025/rwe-hv-2025-rede-des-vorstandsvorsitzenden-markus-krebber.pdf
RWE,Energie,2025,ar,Werner Brandt,de,high,1074,RWE/2025/rwe-hv-2025-rede-des-aufsichtsratsvorsitzenden.pdf
SAP,Software,2022,ceo,Christian Klein,de,high,2629,SAP/2022/SAP SE Hauptversammlung 2022_ Rede des Vorstandssprechers.pdf
SAP,Software,2022,ar,Hasso Plattner,de,high,1679,"SAP/2022/Schreiben von Prof. Dr. h. c. mult. Hasso Plattner, Vorsitzender des Aufsichtsrats der SAP SE-2.pdf"
SAP,Software,2023,ceo,Christian Klein,de,high,3472,SAP/2023/SAP SE Hauptversammlung 2023_ Rede des Vorstandssprechers.pdf
SAP,Software,2023,ar,Hasso Plattner,de,high,1718,"SAP/2023/Schreiben von Prof. Dr. h. c. mult. Hasso Plattner, Vorsitzender des Aufsichtsrats der SAP SE.pdf"
SAP,Software,2024,ceo,Christian Klein,de,high,3125,SAP/2024/SAP SE Hauptversammlung 2024_ Rede des Vorstandssprechers.pdf
SAP,Software,2024,ar,Hasso Plattner,de,high,1406,SAP/2024/SAP SE Hauptversammlung 2024_ Schreiben von Prof. Dr. h. c. mult. Hasso Plattner.pdf
SAP,Software,2025,ceo,Christian Klein,de,high,2655,SAP/2025/Rede des Vorstandsvorsitzenden 2025.pdf
SAP,Software,2025,ar,Punit Renjen,de,high,1061,SAP/2025/Brief des Aufsichtsratsvorsitzenden 2025.pdf
Siemens,Elektrotechnik,2022,ceo,Roland Busch,de,high,4638,Siemens/2022/Roland-Busch-HV-Rede-2022-DE.pdf
Siemens,Elektrotechnik,2022,ar,Jim H. Snabe,de,high,1913,Siemens/2022/HV-Rede-2022-Snabe-DE.pdf
Siemens,Elektrotechnik,2023,ceo,Roland Busch,de,high,4736,Siemens/2023/Roland-Busch-HV-Rede-2023-DE.pdf
Siemens,Elektrotechnik,2023,ar,Jim H. Snabe,de,high,2130,Siemens/2023/HV-Rede-2023-JHS-DE.pdf
Siemens,Elektrotechnik,2024,ceo,Roland Busch,de,high,4470,Siemens/2024/HV-Rede-2024-Roland-Busch-Presseformat-DE.pdf
